Name,Age,Gender,Occupation,Marital Status,Income Range,Location,Financial Goals,Categories
Aarav,32,Male,Software Engineer,Married,"Combined: Rs. 20,00,000 - Rs. 25,00,000 per annum","Pune, India","Save for pregnancy and childbirth expenses. Plan for parental leave and childcare costs. Create a financial safety net for the new family addition.",C5
Maya Shah,40,Female,Financial Analyst,Divorced,"Rs. 12,00,000 - Rs. 15,00,000 per annum","Mumbai, India","Provide financial stability and security for her child. Save for her child's education and future needs. Plan for retirement and create a sustainable income stream.",C5
Vikram Singh,35,Male,IT Consultant,Married,"Rs. 30,00,000 - Rs. 40,00,000 per annum","Dubai, UAE","Invest in real estate properties in India for rental income. Plan for children's education and future expenses. Save for retirement and maintain financial ties with India.",C5
Shreya Gupta,40,Female,Bank Clerk,Divorced,"Rs. 6,00,000 - Rs. 8,00,000 per annum","Kolkata, India","Preserve capital and focus on low-risk investments. Build an emergency fund for unexpected expenses. Plan for retirement with a conservative investment approach.",C5
Rohan Patel,30,Male,Tech Entrepreneur,Single,"Rs. 20,00,000 - Rs. 25,00,000 per annum","Bengaluru, India","Invest in cutting-edge technology and digital assets. Save for future digital innovations and startup ventures. Plan for financial independence and early retirement.",C5
Deepak Sharma,45,Male,Fitness Trainer,Single,"Rs. 12,00,000 - Rs. 15,00,000 per annum","Mumbai, India","Save for regular health check-ups and preventive care. Invest in health insurance for comprehensive coverage. Plan for retirement with a focus on maintaining good health.",C5
Anuj,40,Male,Finance Manager,Married,"Combined: Rs. 30,00,000 - Rs. 35,00,000 per annum","Delhi, India","Save for children's higher education expenses. Invest in education-focused financial instruments. Plan for children's future without compromising on quality education.",C6
Rahul,35,Male,IT Consultant,Married,"Combined: Rs. 25,00,000 - Rs. 30,00,000 per annum","Pune, India","Save for children's education and future expenses. Pay off mortgage and become debt-free. Build a retirement corpus and plan for financial independence.",C6
Arjun,28,Male,Software Engineer,Married,"Combined: Rs. 15,00,000 - Rs. 20,00,000 per annum","Mumbai, India","Save for a down payment on a house. Build an emergency fund for unexpected expenses. Plan for long-term financial security and future family needs.",C6
Neha Patel,40,Female,Freelance Graphic Designer,Single,"Rs. 8,00,000 - Rs. 10,00,000 per annum","Bengaluru, India","Increase client base and expand business network. Save for business expansion and investment opportunities. Plan for retirement and create passive income streams.",C6
Rajesh Gupta,35,Male,IT Consultant,Married,"Rs. 20,00,000 - Rs. 25,00,000 per annum","Delhi, India","Pay off mortgage and become debt-free. Renovate and improve home value. Build emergency fund for home repairs and maintenance.",C6
Meena Desai,70,Female,Retired Professor,Widow,"Pension: Rs. 30,000 per month","Pune, India","Maintain a comfortable lifestyle during retirement. Plan for healthcare expenses and medical emergencies. Ensure financial security for children and grandchildren.",C6
Sameer Kapoor,45,Male,Entrepreneur,Married,"Rs. 50,00,000 - Rs. 1,00,00,000 per annum","Mumbai, India","Preserve and grow wealth through strategic investments. Diversify investment portfolio for long-term financial security. Plan for generational wealth transfer",C6
Aisha Khan,28,Female,Software Engineer,Single,"Rs. 10,00,000 - Rs. 12,00,000 per annum","Bengaluru, India","Build a strong financial foundation for future goals. Save for travel and personal interests. Plan for investments and long-term financial security.",C6
Akash Patel,40,Male,Business Owner,Married,"Rs. 15,00,000 - Rs. 20,00,000 per annum","Mumbai, India","Grow the business and expand into new markets. Ensure financial stability for the business and employees. Plan for retirement and create a sustainable income stream.",C6
Ramesh Kumar,65,Male,Retired Govt Employee,Married,"Pension: Rs. 40,000 per month","Delhi, India","Maintain a comfortable lifestyle during retirement. Plan for healthcare expenses and medical emergencies. Ensure financial security for spouse and dependents.",C6
Aryan Kapoor,28,Male,Marketing Manager,Single,"Rs. 12,00,000 - Rs. 15,00,000 per annum","Mumbai, India","Save for higher education or upskilling courses. Build an emergency fund for unexpected expenses. Invest in mutual funds or SIPs for long-term financial growth.",C6
Rahul Sharma,35,Male,IT Professional,Married,"Combined: Rs. 30,00,000 - Rs. 35,00,000 per annum","Pune, India","Save for children's education and future expenses. Pay off mortgage and become debt-free. Build a retirement corpus and plan for financial independence.",C6
